Sample	Type	Household	Household_code_name	Area	Room	SurfaceTouchFrequency	SurfaceDeposition	Occupancy	Individual	Window	Temperature	Humidity
KT2SWCWIN	Surface	Kwun Tong	KT	Shower Curtain	Bathroom	High	Low	Low	NA	Closed	NA	NA
KT2TFBWIN	Surface	Kwun Tong	KT	Toilet Flush Button	Bathroom	High	Low	Low	NA	Closed	NA	NA
MOS-3W-FOH	Skin	Ma On Shan	MOS	Forehead	NA	NA	NA	High	MOS 3W	Closed	NA	NA
MOS-3W-LF	Skin	Ma On Shan	MOS	Left Forearm	NA	NA	NA	High	MOS 3W	Closed	NA	NA
MOS-3W-LP	Skin	Ma On Shan	MOS	Left Palm	NA	NA	NA	High	MOS 3W	Closed	NA	NA
MOS-3W-RF	Skin	Ma On Shan	MOS	Right Forearm	NA	NA	NA	High	MOS 3W	Closed	NA	NA
MOS-3W-RP	Skin	Ma On Shan	MOS	Right Palm	NA	NA	NA	High	MOS 3W	Closed	NA	NA
MOS-3X-FOH	Skin	Ma On Shan	MOS	Forehead	NA	NA	NA	High	MOS 3X	Closed	NA	NA
MOS-3X-LF	Skin	Ma On Shan	MOS	Left Forearm	NA	NA	NA	High	MOS 3X	Closed	NA	NA
MOS-3X-LP	Skin	Ma On Shan	MOS	Left Palm	NA	NA	NA	High	MOS 3X	Closed	NA	NA
MOS-3X-RF	Skin	Ma On Shan	MOS	Right Forearm	NA	NA	NA	High	MOS 3X	Closed	NA	NA
MOS-3X-RP	Skin	Ma On Shan	MOS	Right Palm	NA	NA	NA	High	MOS 3X	Closed	NA	NA
MOS-3Y-FOH	Skin	Ma On Shan	MOS	Forehead	NA	NA	NA	High	MOS 3Y	Closed	NA	NA
MOS-3Y-LF	Skin	Ma On Shan	MOS	Left Forearm	NA	NA	NA	High	MOS 3Y	Closed	NA	NA
MOS-3Y-LP	Skin	Ma On Shan	MOS	Left Palm	NA	NA	NA	High	MOS 3Y	Closed	NA	NA
MOS-3Y-RF	Skin	Ma On Shan	MOS	Right Forearm	NA	NA	NA	High	MOS 3Y	Closed	NA	NA
MOS-3Y-RP	Skin	Ma On Shan	MOS	Right Palm	NA	NA	NA	High	MOS 3Y	Closed	NA	NA
MOS1BRWIN	Air	Ma On Shan	MOS	Bedroom	Bedroom	NA	NA	High	NA	Closed	19.95	81
MOS1KCWIN	Air	Ma On Shan	MOS	Kitchen	Kitchen	NA	NA	High	NA	Closed	19.95	81
MOS1LRWIN	Air	Ma On Shan	MOS	Living Room	Living Room	NA	NA	High	NA	Closed	19.95	81
MOS1TLWIN	Air	Ma On Shan	MOS	Toilet	Bathroom	NA	NA	High	NA	Closed	19.95	81
MOS2BHBWIN	Surface	Ma On Shan	MOS	Bed Headboard	Bedroom	High	Low	High	NA	Closed	NA	NA
MOS2BLKWIN	Surface	Ma On Shan	MOS	Blanket	Bedroom	High	High	High	NA	Closed	NA	NA
MOS2FDSWIN	Surface	Ma On Shan	MOS	Fridge Door Seal	Kitchen	Low	Low	High	NA	Closed	NA	NA
MOS2KVTWIN	Surface	Ma On Shan	MOS	Kitchen Ventilator	Kitchen	Low	High	High	NA	Closed	NA	NA
MOS2RMCWIN	Surface	Ma On Shan	MOS	Remote Control	Living Room	High	Low	High	NA	Closed	NA	NA
MOS2SCRWIN	Surface	Ma On Shan	MOS	TV Screen	Living Room	Low	High	High	NA	Closed	NA	NA
MOS2SWCWIN	Surface	Ma On Shan	MOS	Shower Curtain	Bathroom	High	Low	High	NA	Closed	NA	NA
MOS2TFBWIN	Surface	Ma On Shan	MOS	Toilet Flush Button	Bathroom	High	Low	High	NA	Closed	NA	NA
QB-3X-FOH	Skin	Quarry Bay	QB	Forehead	NA	NA	NA	High	QB 3X	Open	NA	NA
QB-3X-LF	Skin	Quarry Bay	QB	Left Forearm	NA	NA	NA	High	QB 3X	Open	NA	NA
QB-3X-LP	Skin	Quarry Bay	QB	Left Palm	NA	NA	NA	High	QB 3X	Open	NA	NA
QB-3X-RF	Skin	Quarry Bay	QB	Right Forearm	NA	NA	NA	High	QB 3X	Open	NA	NA
QB-3X-RP	Skin	Quarry Bay	QB	Right Palm	NA	NA	NA	High	QB 3X	Open	NA	NA
QB-3Y-FOH	Skin	Quarry Bay	QB	Forehead	NA	NA	NA	High	QB 3Y	Open	NA	NA
QB-3Y-LF	Skin	Quarry Bay	QB	Left Forearm	NA	NA	NA	High	QB 3Y	Open	NA	NA
QB-3Y-LP	Skin	Quarry Bay	QB	Left Palm	NA	NA	NA	High	QB 3Y	Open	NA	NA
QB-3Y-RF	Skin	Quarry Bay	QB	Right Forearm	NA	NA	NA	High	QB 3Y	Open	NA	NA
QB-3Y-RP	Skin	Quarry Bay	QB	Right Palm	NA	NA	NA	High	QB 3Y	Open	NA	NA
QB-3Z-FOH	Skin	Quarry Bay	QB	Forehead	NA	NA	NA	High	QB 3Z	Open	NA	NA
QB-3Z-LF	Skin	Quarry Bay	QB	Left Forearm	NA	NA	NA	High	QB 3Z	Open	NA	NA
QB-3Z-LP	Skin	Quarry Bay	QB	Left Palm	NA	NA	NA	High	QB 3Z	Open	NA	NA
QB-3Z-RF	Skin	Quarry Bay	QB	Right Forearm	NA	NA	NA	High	QB 3Z	Open	NA	NA
QB-3Z-RP	Skin	Quarry Bay	QB	Right Palm	NA	NA	NA	High	QB 3Z	Open	NA	NA
QB1BRWIN	Air	Quarry Bay	QB	Bedroom	Bedroom	NA	NA	High	NA	Open	19.4	50.55
QB1KCWIN	Air	Quarry Bay	QB	Kitchen	Kitchen	NA	NA	High	NA	Open	19.4	50.55
QB1LRWIN	Air	Quarry Bay	QB	Living Room	Living Room	NA	NA	High	NA	Open	19.4	50.55
QB1TLWIN	Air	Quarry Bay	QB	Toilet	Bathroom	NA	NA	High	NA	Open	19.4	50.55
QB2BHBWIN	Surface	Quarry Bay	QB	Bed Headboard	Bedroom	High	Low	High	NA	Open	NA	NA
QB2BLKWIN	Surface	Quarry Bay	QB	Blanket	Bedroom	High	High	High	NA	Open	NA	NA
QB2FDSWIN	Surface	Quarry Bay	QB	Fridge Door Seal	Kitchen	Low	Low	High	NA	Open	NA	NA
QB2KVTWIN	Surface	Quarry Bay	QB	Kitchen Ventilator	Kitchen	Low	High	High	NA	Open	NA	NA
QB2RMCWIN	Surface	Quarry Bay	QB	Remote Control	Living Room	High	Low	High	NA	Open	NA	NA
QB2SCRWIN	Surface	Quarry Bay	QB	TV Screen	Living Room	Low	High	High	NA	Open	NA	NA
QB2SWCWIN	Surface	Quarry Bay	QB	Shower Curtain	Bathroom	High	Low	High	NA	Open	NA	NA
QB2TFBWIN	Surface	Quarry Bay	QB	Toilet Flush Button	Bathroom	High	Low	High	NA	Open	NA	NA
STW-3X-FOH	Skin	Sha Tin Wai	STW	Forehead	NA	NA	NA	High	STW 3X	Open	NA	NA
STW-3X-LF	Skin	Sha Tin Wai	STW	Left Forearm	NA	NA	NA	High	STW 3X	Open	NA	NA
STW-3X-LP	Skin	Sha Tin Wai	STW	Left Palm	NA	NA	NA	High	STW 3X	Open	NA	NA
